Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776657072,198,,Aggregated,30.300000,0.100000,22,28,32,36,47,58,74,96,290,550,550,5799,53,22,27.818655080187444,5.486195000230509,554.3546799999604,10832.791170891533
1776657073,198,,Aggregated,29.600000,0.100000,22,28,32,36,47,57,74,95,290,550,550,5842,53,22,27.744950537145783,5.486195000230509,554.3546799999604,10762.63557001027
1776657074,198,,Aggregated,29.300000,0.200000,22,27,32,36,47,57,74,95,290,550,550,5872,53,22,27.70285943784221,5.486195000230509,554.3546799999604,10742.919959128065
1776657075,198,,Aggregated,30.600000,0.200000,22,27,32,35,47,57,74,95,290,550,550,5897,53,22,27.65696076411869,5.486195000230509,554.3546799999604,10701.432931999321
1776657076,198,,Aggregated,31.000000,0.200000,22,27,32,35,47,57,74,94,290,550,550,5935,53,22,27.626483291154884,5.486195000230509,554.3546799999604,10679.343218197135
1776657077,198,,Aggregated,29.500000,0.200000,22,27,32,35,47,57,74,94,290,550,550,5965,53,22,27.580115412070608,4.6117749998302315,554.3546799999604,10674.704442581728
1776657078,198,,Aggregated,30.900000,0.200000,22,27,32,35,47,57,74,94,290,550,550,5992,53,22,27.539256757175995,4.6117749998302315,554.3546799999604,10629.917556742323
1776657079,198,,Aggregated,31.400000,0.200000,22,27,32,35,47,57,74,94,270,550,550,6027,54,22,27.5373490605606,4.6117749998302315,554.3546799999604,10606.712792434048
1776657080,198,,Aggregated,30.300000,0.200000,22,27,32,35,47,57,74,94,270,550,550,6050,54,22,27.497683873553644,4.6117749998302315,554.3546799999604,10568.96876033058
1776657081,198,,Aggregated,29.900000,0.200000,22,27,32,35,46,57,74,94,270,550,550,6078,55,22,27.466674368213344,4.6117749998302315,554.3546799999604,10557.166831194472
1776657082,198,,Aggregated,29.900000,0.200000,22,27,32,35,46,57,74,93,270,550,550,6110,55,22,27.434982757283212,4.6117749998302315,554.3546799999604,10517.176923076922
1776657083,198,,Aggregated,28.800000,0.200000,22,27,32,35,46,57,73,93,270,550,550,6153,56,22,27.377892120591717,4.6117749998302315,554.3546799999604,10488.48902974159
1776657084,198,,Aggregated,30.700000,0.200000,22,27,31,35,46,57,73,93,270,550,550,6183,56,22,27.329992570920858,4.6117749998302315,554.3546799999604,10442.649361151545
1776657085,198,,Aggregated,30.700000,0.300000,22,27,31,35,46,57,73,89,270,550,550,6221,56,22,27.285152316349187,4.6117749998302315,554.3546799999604,10425.758881208809
1776657086,198,,Aggregated,31.100000,0.300000,22,27,31,35,46,57,73,89,270,550,550,6258,56,22,27.24122904170754,4.6117749998302315,554.3546799999604,10411.076222435282
1776657087,198,,Aggregated,30.900000,0.300000,22,27,31,35,46,56,73,89,270,550,550,6284,57,22,27.19842893984817,4.6117749998302315,554.3546799999604,10370.60661998727
1776657088,198,,Aggregated,32.200000,0.300000,22,27,31,35,46,56,73,89,270,550,550,6312,57,22,27.15120786549537,4.6117749998302315,554.3546799999604,10326.956432192648
